disease_name,department
Viêm Da Dị Ứng,Dermatology
Viêm Da Xoang,Dermatology
Viêm Dạ Dày Cấp,Gastroenterology
Viêm Dạ Dày Tá Tràng,Gastroenterology
Viêm Dạ Dày,Gastroenterology
Viêm Gan A,Gastroenterology
Viêm Gan C,Gastroenterology
Viêm Gan Gót Chân Achilles,
Viêm Gan Gấp Ngón Tay Cái,
Viêm Gan Mạn Tính,Gastroenterology
Viêm Gan Tự Miễn,Gastroenterology
Viêm Hang Vị Dạ Dày,Gastroenterology
Viêm Hậu Môn,Gastroenterology
Viêm Họng Hạt,ENT
Viêm Họng Xuất Huyết,ENT
Viêm Khớp Cấp,
Viêm Khớp Cổ Tay,
Viêm Khớp Liên Cầu,
Viêm Khớp Ngón Tay,
Viêm Khớp Nhiễm Khuẩn,
Viêm Khớp Phản Ứng,
Viêm Khớp Vảy Nến,Dermatology
Viêm Khớp,
Viêm Kết Mạc,
Viêm Loét Dạ Dày Tá Tràng,Gastroenterology
Viêm Loét Giác Mạc,
Viêm Màng Bồ Đào,
Viêm Màng Não Mô Cầu,
Viêm Màng Não Mủ,
Viêm Màng Não,
Viêm Mào Tinh Hoàn,
Viêm Mũi Dị Ứng Thời Tiết,ENT
Viêm Mũi Dị Ứng,ENT
Viêm Mũi Mạn Tính,ENT
Viêm Mũi,ENT
Viêm Mống Mắt,
Viêm Niêm Mạc Dạ Dày,Gastroenterology
Viêm Niệu Đạo,
Viêm Nội Mạc Tử Cung,
Viêm Phế Quản Mạn Tính,Respiratory
Viêm Phế Quản Phổi,Respiratory
Viêm Phổi Do Metapneumovirus,Respiratory
Viêm Phổi,Respiratory
Viêm Ruột Mạn Tính,Gastroenterology
Viêm Ruột Thừa Cấp,Gastroenterology
Viêm Ruột Thừa,Gastroenterology
Viêm Tai Giữa Thủng Màng Nhĩ,ENT
Viêm Tai Giữa Ứ Dịch,ENT
Viêm Tai Giữa Ứ Mủ,ENT
Viêm Tai Giữa,ENT
Viêm Tai Ngoài,ENT
Viêm Tai Xương Chũm,ENT
Viêm Tai,ENT
Viêm Thanh Quản,ENT
Viêm Thận Bể Thận Cấp,
Viêm Thận Lupus,
Viêm Tinh Hoàn,
Viêm Trực Tràng,Gastroenterology
Viêm Tuyến Giáp,
Viêm Tuyến Nước Bọt,ENT
Viêm Tuyến Tiền Liệt Cấp Tính,
Viêm Tuyến Tiền Liệt Mạn Tính,
Viêm Tuyến Tiền Liệt,
Viêm Tuyến Vú,
Viêm Túi Mật,Gastroenterology
Viêm Tụy Mạn Tính,Gastroenterology
Viêm Tụy,Gastroenterology
Viêm Xoang Bướm,ENT
Viêm Xoang Cấp Tính,ENT
Viêm Xoang Do Nấm,ENT
Viêm Xoang Hàm,ENT
Viêm Xoang Mũi Dị Ứng,ENT
Viêm Xoang Mạn Tính,ENT
Viêm Xoang sàng,ENT
Viêm Xoang Trán,ENT
Viêm Xung Huyết Hang Vị Dạ Dày,Gastroenterology
Viêm Âm Đạo Mạn Tính,
Viêm Âm Đạo,
Viêm Đường Hô Hấp Dưới,Respiratory
Viêm Đường Ruột,Gastroenterology
Viêm Đường Tiết Niệu Khi Mang Thai,
Viêm Đường Tiết Niệu Sau Sinh,
Viêm Đường Tiết Niệu,
Viêm Đại Tràng,Gastroenterology
Viễn Thị,
Vô Sinh Hiếm Muộn,
Vô Sinh Nguyên Phát,
Vô Sinh Nữ,
Vô Sinh,
Vôi Hóa Xương,
Vỡ Mạch Máu Não,
Vỡ Túi Ngực,
Vỡ Tử Cung,
Xoắn Tinh Hoàn,
Xuất Huyết Dạ Dày,Gastroenterology
Xuất Huyết Tiêu Hóa,Gastroenterology
Xuất Huyết Tử Cung Bất Thường,
Xuất Tinh Ngược Dòng,
Xuất Tinh Sớm,
Xơ Cứng Bi Khu Trú,Dermatology
Xơ Cứng Bi Toàn Thể,Dermatology
Xơ Cứng Bi,Dermatology
Xơ Gan Còn Bù,Gastroenterology
Xơ Gan Cổ Trướng,Gastroenterology
Xơ Gan Do Rượu,Gastroenterology
Xơ Gan Mật Bù,Gastroenterology
Xơ Gan,Gastroenterology
Xơ Phổi,Respiratory
Xơ Vữa Động Mạch Vành,
Xơ Vữa Động Mạch,
Xẹp Đốt Sống,
Yếu Sinh Lý Ở Nữ,
Yếu Sinh Lý,
Áp Xe Hậu Môn,Gastroenterology
Áp Xe Phổi,Respiratory
Ăn Không Tiêu,Gastroenterology
Đau Bụng Kinh,
Đau Cổ Tay Sau Sinh,
